username_length,num_posts,num_followers,num_following,account_age_days,has_profile_picture,has_bio,engagement_ratio,is_verified,is_fake
19,2,6341,2644,12,1,0,0.0,0,1
25,34,28,4408,312,0,0,1.2291,0,1
5,6,24,461,173,1,1,0.245,0,1
14,97,414,972,3167,1,1,0.2198,0,0
11,1947,195,955,2613,1,0,9.9736,0,0
11,301,269,322,3220,1,1,1.1168,0,0
28,2,1541,3074,4,0,0,0.0,0,1
19,862,322,450,227,1,1,2.6885,0,0
13,89,70,668,1915,1,0,1.2684,0,0
9,1549,419,753,2338,1,1,3.6942,0,0
3,7,6,369,24,1,0,1.1567,0,1
18,8,1671,1271,172,0,1,0.0037,0,1
17,4,88,4824,4,0,1,0.069,0,1
15,522,2133,891,882,0,1,0.2611,0,0
19,1417,1110,610,989,1,1,1.274,0,0
6,7,91,3148,87,0,0,0.0641,0,1
7,778,98,758,336,0,0,7.9296,0,0
13,584,64,877,497,1,0,9.1329,0,0
10,32,17,309,3067,1,0,1.8796,0,0
29,4,2283,1629,27,1,0,0.0,0,1
7,5,381,621,3478,1,1,4.2024,0,0
6,1254,1485,809,1271,0,0,0.8378,0,0
21,26,10,4484,20,0,0,2.5797,0,1
8,0,137,970,1868,1,0,0.0103,0,0
15,22,5741,2554,27,0,0,0.0,0,1
7,1969,378,663,1780,0,1,5.2144,1,0
21,28,13,2823,8,0,0,2.1627,0,1
13,433,205,671,1651,1,0,2.1195,0,0
7,1699,1160,733,3090,0,1,1.4582,0,0
22,21,1526,2173,20,1,0,0.0278,0,1
8,175,351,410,1822,1,1,0.5097,0,0
17,11,34033,142,1674,1,0,0.0,0,0
10,48,145,856,370,1,0,0.3243,0,0
13,8,1355,232,3142,0,1,0.0135,0,0
12,1455,454,978,3402,1,1,3.204,0,0
7,3,1989,519,18,0,1,0.0129,0,1
17,549,470,762,3478,0,0,1.16,0,0
20,7,11,2098,242,0,0,0.6347,0,1
6,8,2823,3343,15,0,0,0.0,0,1
8,778,165,617,862,1,0,4.7283,0,0
19,225,378,979,1493,1,1,0.6092,0,0
9,1499,76,497,1287,1,1,19.7127,0,0
24,2,17,896,88,0,0,0.1173,0,1
9,48,318,612,791,0,1,0.1516,0,0
16,1403,406,558,2350,1,1,3.4606,0,0
19,37,35,3262,21,0,0,1.0504,0,1
13,1117,42529,797,2897,1,1,0.027,0,0
5,1339,420,740,2002,1,1,3.1922,0,0
22,26,8742,2590,42,0,1,0.0179,0,1
17,9,4735,1409,25,1,0,0.0092,0,1
27,4,35,4997,14,0,0,0.1194,0,1
7,2,39,4645,26,0,1,0.0434,0,1
10,1354,330,102,3414,1,0,4.0983,0,0
24,5,13,152,24,0,0,0.3844,0,1
6,97,1764,835,3197,1,1,0.0373,0,0
10,1039,1167,668,166,1,1,0.8887,0,0
6,9,32,4218,21,1,1,0.2907,0,1
19,21,16,2687,9,1,1,1.3096,0,1
8,30,3737,149,2698,1,0,0.0113,0,0
16,5,53,3704,28,0,0,0.1017,0,1
9,23,365,436,2188,1,1,0.0579,0,0
3,9,3745,3864,10,0,0,0.0,0,1
23,4,99,4526,8,0,0,0.0276,0,1
23,1,9707,492,23,1,0,0.0,0,1
23,9,7599,3583,11,1,0,0.0075,0,1
3,0,74,3093,6,0,0,0.0084,0,1
14,45,487,284,649,1,1,0.0862,0,0
26,3,8866,456,25,0,0,0.0058,0,1
15,25,4212,2625,4,1,0,0.0001,0,1
23,3,5009,2317,28,1,0,0.0094,0,1
8,8,164,376,1009,0,0,0.0466,0,0
14,1140,125,373,3038,1,0,9.1201,0,0
13,1,31536,758,3357,1,0,0.0,0,0
27,16,5557,973,20,0,0,0.0,0,1
8,520,376,585,2613,1,0,1.3874,0,0
12,2,263,810,729,1,0,0.0763,1,0
7,441,485,800,3270,1,1,0.899,0,0
13,26,388,71,242,1,0,0.082,0,0
6,1076,19,609,2513,1,0,56.6265,0,0
17,8,14,3172,196,0,0,0.5677,0,1
9,1460,85,241,94,1,1,17.1719,0,0
8,17,3990,850,1323,1,0,0.0231,0,0
12,82,345,881,1536,1,0,0.2378,0,0
6,7,4277,4646,301,1,0,0.0,0,1
10,616,343,99,3590,1,1,1.7916,0,0
8,1264,4810,177,1875,1,1,0.2625,0,0
20,8,83,3754,27,1,0,0.0937,0,1
14,42,166,602,979,1,1,0.2735,0,0
24,5,8619,1277,25,0,1,0.0083,0,1
16,13,8331,3591,9,1,0,0.0186,0,1
8,1250,376,122,2992,1,1,3.3243,0,0
8,2,160,624,2814,1,0,0.2431,0,0
15,39,2361,4470,4,0,0,0.0094,0,1
28,8,6488,3012,22,1,0,0.0095,0,1
8,36,562,747,3286,1,1,0.0539,0,0
12,67,320,170,3486,1,0,0.2179,0,0
17,13,26,376,29,1,1,0.5096,0,1
18,0,84,2256,3,1,0,0.0042,0,1
10,1408,96,544,1677,0,0,14.6727,0,0
6,5,8081,4829,10,0,0,0.0,0,1
19,1787,3860,244,2407,1,1,0.457,0,0
17,0,248,881,3418,1,0,0.0,0,0
15,26,8374,2563,26,1,0,0.0,0,1
3,5,1658,4624,15,0,1,0.0003,0,1
8,831,4677,384,561,1,1,0.1871,0,0
10,1955,448,892,3223,1,1,4.367,0,0
19,97,57,363,1922,1,1,1.7048,0,0
5,6,2925,2548,16,0,1,0.0179,0,1
17,12,17,435,1659,1,1,0.7084,0,0
14,1,355,244,2755,1,0,0.0014,0,0
15,99,1474,840,2964,0,0,0.0801,0,0
16,868,1593,724,1644,1,0,0.5517,0,0
21,27,2205,2835,305,1,1,0.0092,0,1
15,34,262,748,2994,1,1,0.1178,0,0
18,213,365,564,1261,1,1,0.5905,0,0
17,782,2758,671,1023,1,1,0.2947,0,0
3,1,8031,2424,12,1,1,0.0056,0,1
5,938,152,770,122,1,0,6.1511,0,0
10,1279,103,994,2819,1,0,12.397,0,0
15,21,305,991,859,1,1,0.0587,1,0
3,4,8431,984,14,0,0,0.0154,0,1
17,1,33,2875,10,0,1,0.0262,0,1
17,93,48,62,65,1,1,1.9327,0,0
19,87,4626,351,2173,0,1,0.008,0,0
16,61,256,488,2183,1,1,0.227,0,0
6,1035,115,728,3626,1,1,8.9995,0,0
26,6,6558,286,25,0,1,0.0,0,1
13,1981,319,842,2922,1,0,6.2041,0,0
17,97,431,55,1259,1,1,0.2167,0,0
15,448,199,336,795,1,1,2.258,0,0
5,599,447,322,3159,1,1,1.3537,0,0
15,1234,2020,321,916,1,1,0.6226,0,0
9,93,346,229,2791,1,0,0.2651,0,0
13,748,1567,769,1318,1,1,0.4796,0,0
14,982,180,774,453,1,1,5.4604,0,0
7,1835,236,164,1503,1,1,7.7912,0,0
6,1242,16939,357,3389,1,1,0.0832,0,0
6,7,3863,2594,12,0,0,0.0,0,1
17,1634,259,331,945,1,1,6.3183,0,0
4,21,7305,4629,169,0,0,0.0,0,1
13,1556,478,814,3244,1,0,3.2503,0,0
12,169,121,579,690,1,1,1.3945,0,0
5,71,201,105,472,1,0,0.3618,0,0
5,918,4506,494,2970,1,1,0.2031,0,0
11,30,26031,434,790,1,1,0.0057,0,0
27,0,9848,4691,14,0,0,0.0075,0,1
12,34,479,864,3106,1,0,0.078,0,0
8,1372,22,448,48,1,0,62.3514,0,0
14,143,326,213,3242,1,1,0.4454,0,0
18,67,229,807,165,1,1,0.2961,1,0
21,8,73,2880,7,1,0,0.107,0,1
7,6,17,4652,5,0,0,0.352,0,1
20,2,21,2910,32,0,0,0.0994,0,1
13,813,3431,286,3349,1,1,0.235,0,0
13,24,57,646,2482,1,1,0.4135,0,0
6,220,63,804,1583,1,1,3.4851,0,0
14,75,496,312,2780,1,1,0.1617,0,0
18,42,4971,886,119,0,1,0.0152,0,0
16,36,237,70,93,1,1,0.1441,0,0
16,14,29,2181,347,0,0,0.4914,0,1
23,1,86,377,26,0,1,0.015,0,1
24,30,1287,2007,10,1,0,0.0227,0,1
15,103,376,397,3069,1,0,0.2701,0,0
12,3,468,542,3296,1,1,0.0226,0,0
18,83,105,894,1045,1,0,0.7996,0,0
10,567,292,650,3423,1,0,1.9537,0,0
16,3,1,626,12,0,0,3.0048,0,1
6,1,4631,688,2925,1,1,0.1707,0,0
11,95,462,767,739,1,1,0.2166,0,0
18,31,178,421,2932,1,1,0.1612,0,0
11,1035,2838,656,2015,1,1,0.3571,0,0
8,43,432,974,2131,1,1,0.0939,0,0
5,951,38,724,2786,1,1,25.0365,0,0
17,5,7331,1599,20,1,0,0.0262,0,1
8,310,444,91,440,1,1,0.6918,0,0
8,1343,241,992,405,0,1,5.5827,1,0
7,145,2412,167,2193,1,1,0.0676,0,0
15,1561,438,416,342,1,0,3.5514,0,0
5,66,102,608,3282,1,1,0.6473,0,0
21,1,6,4937,27,0,0,0.1817,0,1
11,1301,4336,995,785,0,1,0.3091,0,0
16,627,260,600,333,1,1,2.4053,0,0
28,9,57,4777,229,0,0,0.1478,1,1
14,1352,24878,454,873,1,0,0.0743,0,0
10,17,219,978,2441,0,1,0.0693,0,0
5,3,459,552,3286,0,0,0.2084,0,0
5,8,3274,529,3544,1,0,0.0,0,0
19,1462,38,343,618,1,1,38.4725,0,0
7,1259,11477,376,2092,1,1,0.0958,0,0
16,365,3499,394,3566,1,1,0.1154,0,0
18,1678,155,105,1208,1,1,10.835,0,0
8,7,332,841,3533,0,1,0.1369,0,0
14,44,85,810,3540,1,1,0.5124,0,0
26,0,7219,2079,318,1,1,0.0,0,1
10,1761,25923,889,2313,1,1,0.0722,0,0
13,64,3914,401,1211,1,1,0.0053,0,0
16,1211,1181,389,2424,1,1,1.0311,0,0
22,0,91,4253,18,0,1,0.0064,0,1
7,96,457,84,2779,1,0,0.2113,0,0
6,1861,416,530,3007,0,1,4.4937,0,0
10,95,48,649,1809,1,1,1.9655,0,0
7,0,51,1781,287,0,1,0.0035,0,1
13,93,4080,425,682,1,0,0.0136,0,0
20,48,84,278,5,1,0,0.5834,0,1
14,69,3433,775,1880,0,1,0.029,0,0
18,44,6586,2452,25,0,0,0.0093,0,1
17,1278,4492,334,3227,1,1,0.2866,0,0
7,1407,175,271,856,1,1,8.0503,0,0
8,478,1115,221,3188,0,1,0.4374,0,0
8,1822,22796,52,401,1,1,0.0844,0,0
16,23,59,76,2348,1,0,0.392,0,0
17,1083,198,802,2858,1,1,5.4725,0,0
17,1827,47,406,1003,1,1,38.851,0,0
10,1608,131,897,471,0,1,12.2664,0,0
7,2,68,364,11,0,1,0.0404,0,1
16,0,3,2206,1,1,1,0.0076,0,1
5,1563,470,475,1006,1,1,3.3174,0,0
18,27,5565,3988,314,0,0,0.0115,0,1
12,26,250,132,1011,1,0,0.0985,0,0
10,1335,3101,207,2189,1,1,0.4396,0,0
5,43,0,2056,1,1,0,43.0046,0,1
14,1087,4460,989,2770,1,0,0.253,0,0
7,1,90,922,3441,1,0,0.0,0,0
7,22,43,647,13,1,0,0.5248,0,1
19,1978,3228,81,2364,1,0,0.6071,0,0
10,682,15313,731,1872,1,1,0.0554,0,0
18,597,136,493,3613,1,1,4.3851,0,0
15,37,433,777,2306,1,1,0.0801,0,0
6,267,350,635,942,0,0,0.7735,0,0
13,13,141,296,560,0,1,0.0995,0,0
16,2,75,742,78,0,1,0.0127,0,1
18,99,319,167,2541,1,1,0.3065,0,0
18,42,208,485,97,1,1,0.2254,0,0
16,655,87,331,2738,1,0,7.5383,0,0
8,1822,4379,127,2861,1,1,0.4207,0,0
8,21,132,609,3120,1,1,0.1645,0,0
7,634,18,454,2917,1,1,35.2265,0,0
7,1626,149,218,2599,1,0,10.9376,0,0
17,205,130,61,1134,1,0,1.5894,0,0
13,940,259,571,498,1,0,3.6486,0,0
9,85,3226,184,2982,1,1,0.0186,0,0
16,73,399,612,2343,1,1,0.1795,0,0
6,55,361,159,1046,1,0,0.1347,0,0
6,279,352,262,2335,1,1,0.8143,0,0
18,87,181,226,168,1,1,0.4664,0,0
13,7,238,769,2910,0,1,4.8968,0,0
10,12,3163,947,3048,1,1,0.0,0,0
19,381,753,832,3074,1,0,0.4968,0,0
17,3,7154,3104,5,0,0,0.0,0,1
11,1089,4952,781,3622,1,1,0.2181,0,0
21,9,3883,4266,134,1,0,0.0039,0,1
27,2,3,4999,25,1,0,0.6599,0,1
27,1,79,965,10,0,0,0.0017,0,1
14,1213,303,108,998,1,0,4.0062,0,0
19,659,107,523,3181,1,1,6.1553,0,0
28,31,48,1947,4,1,0,0.646,0,1
6,432,54,869,48,1,0,8.0048,0,0
6,65,489,502,2471,1,1,0.1223,0,0
7,8,56,3616,8,0,0,0.1435,0,1
18,1678,3837,120,2296,1,1,0.4072,1,0
16,731,4614,286,1440,1,1,0.1641,0,0
7,3,54,472,116,1,1,0.0751,0,1
3,1,68,2910,110,0,0,0.0272,0,1
8,87,316,987,1110,1,0,0.2771,0,0
26,4,58,2003,56,1,1,0.048,0,1
19,33,2940,249,1308,1,1,0.02,0,0
16,293,159,942,2755,0,0,1.8477,0,0
24,1,17,2164,4,1,0,0.0542,0,1
14,517,87,465,2016,1,1,5.9444,0,0
17,756,385,649,1582,1,1,1.9637,0,0
10,251,268,737,339,1,0,0.9341,0,0
18,77,282,819,209,1,0,0.2621,0,0
24,29,9684,1243,86,0,0,0.0013,0,1
15,216,371,636,3338,1,1,0.5618,0,0
13,11,54,799,1123,1,1,0.2042,0,0
5,1707,61,835,1219,0,1,27.9732,0,0
16,81,662,399,1962,1,0,0.1133,0,0
18,9,6,2600,255,0,0,1.4976,0,1
12,128,106,70,2812,1,0,1.1951,0,0
15,64,3983,535,625,0,1,0.0123,0,0
6,1311,424,134,78,1,1,3.1105,1,0
14,1104,264,320,152,0,0,4.1818,0,0
20,34,7,585,229,1,1,4.8609,0,1
23,8,9,3033,5,1,0,0.9016,0,1
13,315,4518,889,756,1,1,0.0726,0,0
14,933,382,475,977,1,1,2.4533,0,0
6,86,36846,261,2654,0,1,0.0,0,0
29,6,63,2992,1,1,0,0.0992,0,1
19,1902,4710,446,2471,0,1,0.3942,0,0
11,1162,16,225,3103,1,0,72.6316,1,0
5,5,295,641,1879,1,0,0.1993,0,0
17,52,301,730,943,1,1,0.1589,0,0
9,1459,252,959,3160,1,0,5.7973,0,0
4,4,11,3560,17,1,1,0.3588,0,1
27,8,41,4949,201,1,1,0.2181,0,1
10,973,264,362,3075,0,1,3.6835,0,0
20,8,66,1152,3,0,0,0.1199,0,1
7,842,320,858,201,0,1,2.6435,0,0
16,867,392,120,1820,1,1,2.2116,1,0
18,23,197,499,2600,1,1,0.1133,0,0
19,1387,1852,330,1328,1,1,0.7538,0,0
12,125,2419,749,198,0,1,0.0513,0,0
12,205,4728,722,1672,1,1,0.045,0,0
17,1028,458,695,2635,1,0,2.2525,0,0
18,1309,2061,959,1331,1,1,0.6498,0,0
7,6,8064,1309,2,0,1,0.0073,0,1
11,1495,332,178,3192,0,1,4.4867,0,0
9,1843,38123,875,1227,1,1,0.0403,0,0
5,47,5601,1560,323,1,0,0.0057,0,1
16,1663,4974,125,260,1,0,0.3297,0,0
5,7,6796,130,159,0,0,0.0087,0,1
8,440,264,435,1686,1,1,1.6562,0,0
6,2,97,4892,338,0,1,0.0254,0,1
8,15,214,815,757,0,1,0.0704,0,0
4,4,8447,4341,7,0,0,0.0,0,1
28,0,22,2935,19,0,0,0.0,0,1
17,116,335,645,950,0,0,0.3579,0,0
14,1888,1530,65,1477,0,0,1.2219,0,0
10,1406,75,983,288,1,0,18.7374,0,0
16,9,7957,2765,17,0,0,0.0,0,1
18,1160,236,923,2163,0,0,4.9268,0,0
21,6,30,2610,29,0,0,0.1934,0,1
25,17,17,4081,22,1,0,1.0034,0,1
18,1535,520,260,589,1,0,2.9451,0,0
18,71,428,914,3045,1,0,0.1524,0,0
10,166,2357,974,1902,1,0,0.0633,0,0
12,1993,56,73,350,1,0,35.5868,1,0
11,1797,243,515,2357,1,1,7.3921,0,0
19,46,235,239,1924,0,1,0.1907,0,0
26,47,66,971,3,0,0,0.6855,0,1
17,24,412,665,1127,1,1,0.0583,0,0
19,1028,43756,508,1485,1,1,0.0333,0,0
13,1472,735,807,2521,1,1,1.9887,0,0
15,0,16,2234,271,0,1,0.0,0,1
5,2,36,1669,265,1,0,0.0532,0,1
5,1236,414,809,144,1,1,2.9844,0,0
13,276,455,767,3076,0,1,0.6123,0,0
6,3,86,942,24,1,0,0.039,0,1
14,332,342,142,655,1,1,0.9655,0,0
8,1263,4539,908,694,0,1,0.2854,0,0
7,1,76,168,3087,1,1,12.366,0,0
5,4,391,557,1415,1,1,0.1099,0,0
12,265,358,381,532,1,0,0.7411,0,0
13,1074,131,275,2307,1,0,8.2115,0,0
8,514,1343,965,162,1,1,0.3776,0,0
5,6,74,3970,27,0,0,0.1064,0,1
17,2,427,834,856,1,1,0.0045,0,0
15,414,2506,919,867,1,1,0.1549,0,0
9,1910,33754,833,1253,1,1,0.057,0,0
5,11,375,838,322,1,1,0.0348,0,0
11,23,44,702,1588,1,1,0.523,0,0
4,48,1028,2163,106,1,1,0.0562,0,1
15,87,112,924,388,1,1,0.7731,1,0
17,897,162,823,2607,1,1,5.5183,0,0
13,77,448,971,850,1,1,0.1704,0,0
8,1129,4586,728,2545,1,0,0.2446,0,0
23,24,73,2288,1,0,0,0.323,0,1
5,93,2559,450,2885,1,1,0.0374,0,0
15,455,52,298,778,0,1,8.7639,0,0
13,78,225,788,1159,1,1,0.3446,0,0
5,0,57,4172,10,0,0,0.0,0,1
15,1744,147,963,623,1,0,11.8487,0,0
14,1518,385,622,500,1,0,3.9378,0,0
5,29,279,912,340,1,1,0.1169,0,0
5,74,38,187,3288,1,1,1.9732,0,0
14,125,65,898,699,0,0,1.934,0,0
6,7,1145,398,7,1,0,0.0032,0,1
7,586,174,263,2651,0,1,3.3662,0,0
14,23,141,905,2783,0,1,0.163,0,0
11,932,21142,886,1670,0,1,0.0399,0,0
3,0,97,1565,14,1,0,0.0,0,1
6,9,81,2101,1,0,0,0.1131,0,1
14,53,38307,545,2698,0,1,0.0123,0,0
14,198,18806,569,946,1,0,0.0121,0,0
4,3,8382,901,103,0,1,0.0,0,1
16,0,315,215,3480,1,0,0.0159,0,0
3,9,69,1482,304,0,0,0.1371,0,1
12,0,3916,475,710,1,1,0.0105,0,0
13,898,191,279,3197,1,1,4.6969,0,0
14,1255,147,962,2541,1,1,8.55,0,0
3,7,62,322,3,0,1,0.112,0,1
9,75,285,764,977,1,1,0.27,0,0
9,951,148,125,106,1,1,6.4243,0,0
14,187,86,431,1011,1,1,2.1809,0,0
18,723,218,686,1321,1,1,3.313,0,0
18,48,295,304,2681,0,1,0.1589,0,0
18,1353,1439,613,3189,0,0,0.9611,0,0
16,34,5076,2852,22,1,0,0.0042,0,1
15,56,142,398,300,1,0,0.4011,0,0
7,72,419,518,3501,1,0,0.1751,0,0
23,6,67,3811,9,1,0,0.1057,0,1
19,8,10,1825,145,1,0,0.7947,0,1
13,533,513,747,3446,1,1,1.0478,0,0
22,9,71,4557,29,1,1,0.1168,0,1
7,1872,45232,634,1105,1,1,0.0182,0,0
9,1333,240,989,1428,1,0,5.552,0,0
16,46,67,191,23,0,1,0.6963,0,1
10,56,475,887,59,0,1,0.1212,0,0
17,230,286,938,1216,1,1,0.8137,0,0
8,82,478,639,2736,1,1,0.1875,0,0
16,1196,318,909,3287,1,1,3.7666,0,0
15,1403,165,405,2055,1,1,8.5015,0,0
7,1212,291,743,286,0,1,4.1451,0,0
7,14,4514,663,1387,1,0,0.0185,0,0
11,87,57,917,824,1,1,1.5227,0,0
3,9,92,4469,11,1,0,0.088,0,1
18,1340,33,405,655,1,1,40.6024,0,0
19,1188,166,236,1627,1,1,7.1666,1,0
10,55,184,480,354,0,0,0.2934,0,0
14,1025,406,459,490,0,1,2.5555,0,0
19,55,225,306,701,1,1,0.2472,0,0
6,1,453,610,873,0,0,0.0,0,0
14,14,13983,423,3181,1,1,0.0,0,0
5,1599,4390,110,727,1,0,0.3509,0,0
17,45,144,720,141,1,1,0.3148,0,0
15,1862,4712,844,1602,1,0,0.3856,0,0
29,0,9080,558,29,0,0,0.0053,0,1
12,1793,284,615,645,1,1,6.2987,0,0
15,6,3666,4318,26,0,0,0.0097,0,1
18,68,173,984,1143,1,1,0.4039,0,0
5,9,67,4786,17,1,0,0.1231,0,1
9,578,10,334,630,1,0,57.7864,0,0
7,4,84,4795,58,1,0,0.0599,0,1
5,433,388,546,1449,1,1,1.1164,0,0
17,51,50,613,3534,1,1,1.0309,0,0
5,1243,453,750,2740,1,1,2.7504,0,0
6,68,2005,821,1092,1,1,0.0229,0,0
7,9,30,2988,144,1,1,0.3068,0,1
13,12,915,216,2461,1,1,0.022,0,0
6,1873,242,138,2563,1,1,7.7399,0,0
3,8,3,2115,24,0,1,2.6944,0,1
20,28,1544,2339,4,1,1,0.0276,0,1
23,1,5,4884,350,0,0,0.2118,1,1
12,7,1669,544,3139,1,1,0.8697,0,0
16,1864,354,317,2246,1,1,5.2652,0,0
13,81,356,116,3298,1,0,0.222,0,0
13,76,192,997,2335,1,0,0.3974,0,0
